ts	phase	decision	why	evidence	result
2026-09-10T14:16:24Z	frame	Defined completion as current direct dependencies plus a successful image build and full validation	The image combines about 30 pins with version-coupled patches, so registry freshness alone cannot prove compatibility	Dockerfile:1; AGENTS.md:1	baseline open
2026-09-10T14:16:24Z	scope	Treat resolver-selected transitive packages as owned by the refreshed base and direct dependency solves	Blanket upgrades after the solve would break the base image contract and make the build non-reproducible	docs/architecture/build.md:20	direct pins and fresh solves in scope
2026-09-10T14:30:16Z	design	Use a small catalog-backed direct-declaration auditor with semantic locators and exception-only holds	The design arena preferred explicit authority ownership but rejected duplicated versions, line locators, and a general parser framework	/tmp/arena-image-audit/judge.md	candidate 2 base with candidate 1 grafts
2026-09-10T14:49:42Z	upgrade	Moved the runtime to base 2026-09-07 and advanced every compatible direct pin found by the live audit	The audit now reports all supported declarations current or explicitly held and the base tag is multi-architecture	Dockerfile:5; scripts/audit_image_versions.py:1	base and direct pins updated
2026-09-10T14:49:42Z	holds	Kept Notebook Intelligence 5.3.1, MCP below 2, Jupyter Collaboration 4.4.2, ipykernel 6.31.0, and pnpm 11	NBI 5.4 conflicts with the ACP protocol range; Jupyter AI 3.2 requires Collaboration below 5; the remaining holds protect documented build and comm contracts	docs/architecture/jupyter-ai.md:40; scripts/audit_image_versions.py:1	compatible patch releases still advanced
2026-09-10T14:49:42Z	packages	Refresh apt runtime packages with dist-upgrade and direct pip distributions with --upgrade	This updates packages inherited from the fresh base without an unbounded pip-over-conda rewrite of the tested Jupyter environment	Dockerfile:183; Dockerfile:590	fresh OS and direct Python solve enabled
2026-09-10T15:29:15Z	authority	Use the Apache binary-distribution index as the Tomcat release authority	The Git tag for 11.0.26 existed before Apache published a matching binary archive, so a source tag was not an installable image release	https://downloads.apache.org/tomcat/tomcat-11/; scripts/audit_image_versions.py:1	Tomcat held at the latest published binary 11.0.25
2026-09-10T15:29:15Z	compatibility	Anchor jupyterlab-slurm to a reviewed commit and migrate its obsolete builder dependency during the image build	The upstream main commit still names @jupyterlab/builder while current JupyterLab requires @jupyter/builder; an exact source assertion makes upstream drift fail closed	Dockerfile:590; tests/unit/test_jupyterlab_slurm_build.py:1	local wheel prototype and focused tests pass
2026-09-10T16:08:00Z	compatibility	Patch Lightcone CLI 0.4.2 source to accept ASTRA Tools 0.2.17 and its idempotent init callback	The latest stable Lightcone release pins ASTRA Tools 0.2.11 exactly, while Lightcone 0.5 remains a release candidate with a changed execution model	config/agents/patch_lightcone_cli.py:1; tests/unit/test_lightcone_cli_patch.py:1	isolated tool install, pip check, version check, and lc init prototype pass
2026-09-10T16:15:00Z	workflow	Retain agent-skills commit 4ded682 and rewrite its historical ASTRA pins at build time	Current upstream removed the stable reproduction plugin in favor of a workflow requiring unreleased Lightcone 0.5; the retained workflow is compatible with existing Slurm templates	Dockerfile:1246; tests/unit/test_astra_jupyter_ai_tooling.py:198	plugin installs for Codex and Claude and complete skill closure for OpenCode pass in image build
2026-09-10T16:40:00Z	build	Built the complete image from the 2026-09-07 base and refreshed package repositories	A clean base transition must exercise OS, Python, npm, frontend, agent, and workflow layers together	docker.io/library/neurodesktop:package-upgrade@sha256:3df419e51240008a7e2a4199c8b66bf45af8e9d52bd8cb4686f10fcebdfaf7ff	full build passed
2026-09-10T17:32:57Z	compatibility	Pin Snakemake 9.26.1 and Packaging 25.0 in both the main and isolated Lightcone environments	Packaging 26.3 made both resolvers silently backtrack from the current user-facing workflow CLI; the infrastructure library can safely yield to Snakemake's declared packaging<26 bound	Dockerfile:598; Dockerfile:624; Dockerfile:986; tests/unit/test_audit_image_versions.py:55	both environments resolve Snakemake 9.26.1 and pass dependency checks
2026-09-10T17:32:57Z	packaging	Make installed image tests and examples world-readable	The restrictive checkout umask produced root-owned mode-0600 test files, so the intended jovyan image test could not collect them even though the image built	Dockerfile:1164; tests/unit/test_image_test_packaging.py:1	jovyan collected and ran the complete installed suite
2026-09-10T17:32:57Z	updates	Keep immutable Claude and Codex fallbacks while selecting user-managed binaries from the persistent home	Users need unprivileged updates that survive image replacement without sacrificing a known-good binary for fresh or read-only homes	config/agents/claude_exec:1; config/agents/codex_exec:1; tests/unit/test_coding_agents.py:1038	actual claude update and codex update created home binaries and selectors executed them
2026-09-10T17:32:57Z	upgrade	Pin Claude Code 2.1.267 instead of relying on the native installer's stable alias	The final live updater probe found stable had installed 2.1.236 while the official release stream and claude update reported 2.1.267	Dockerfile:920; scripts/audit_image_versions.py:83	live audit and final image both report Claude Code 2.1.267
2026-09-10T17:32:57Z	validation	Validate the exact final image and source tree	Completion requires runtime behavior, dependency consistency, and extension compatibility rather than a successful build alone	docker.io/library/neurodesktop:package-upgrade@sha256:5ad92b8a0f2d978e740052ba5af501451bce2dcaa6d7584e178a061f3680fd10	591 unit tests and 155 container tests passed; 16 environment skips; apt and both Python environments current/consistent; Jupyter extensions OK
2026-09-10T17:38:00Z	qualification	Clarify that Python validation proves dependency consistency, not registry freshness for every transitive distribution	The final inventory has 40 distributions below their registry latest; these are resolver-selected/base packages and documented compatibility families rather than stale audited direct pins	docker.io/library/neurodesktop:package-upgrade@sha256:5ad92b8a0f2d978e740052ba5af501451bce2dcaa6d7584e178a061f3680fd10	apt has no pending updates; every tracked direct dependency is current or explicitly held; both Python environments pass dependency checks
2026-09-10T17:38:00Z	coverage	Record current embedded pins that the declaration auditor does not yet discover	nf-test and the Julia static strace artifact use installer/URL forms outside the supported ARG and Python-requirement grammar	Dockerfile:248; Dockerfile:515	independent release-authority review confirms nf-test 0.9.5 and strace 6.7.0+1 remain current
